,AQI Value,AQI Value,AQI Value,AQI Value,AQI Value,CO AQI Value,CO AQI Value,CO AQI Value,CO AQI Value,CO AQI Value,Ozone AQI Value,Ozone AQI Value,Ozone AQI Value,Ozone AQI Value,Ozone AQI Value,NO2 AQI Value,NO2 AQI Value,NO2 AQI Value,NO2 AQI Value,NO2 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value
,mean,max,min,std,count,mean,max,min,std,count,mean,max,min,std,count,mean,max,min,std,count,mean,max,min,std,count
Australia,33.294871794871796,264,15,31.043793521686677,78,0.19230769230769232,9,0,1.0575356345682254,78,22.333333333333332,58,2,8.137881064817071,78,2.782051282051282,18,0,4.585826373708835,78,26.807692307692307,264,3,33.2878269128434,78
Austria,52.59574468085106,75,26,14.385469079214873,47,0.9361702127659575,1,0,0.24709224814516542,47,35.12765957446808,67,23,8.608936260291689,47,1.2340425531914894,5,0,1.0877333024598888,47,51.04255319148936,75,9,17.418078373031445,47
Azerbaijan,59.15,95,31,20.303681284048235,20,1.0,1,1,0.0,20,37.65,48,31,5.824404193608674,20,0.0,0,0,0.0,20,57.6,95,15,22.68642070073035,20
Bahrain,188.0,188,188,,1,2.0,2,2,,1,127.0,127,127,,1,3.0,3,3,,1,188.0,188,188,,1
Bangladesh,102.3,178,53,52.91933064160539,10,2.1,4,1,0.9944289260117533,10,43.6,74,18,16.37884814834873,10,2.4,12,0,3.438345855527367,10,100.7,178,53,54.07823550704623,10
Barbados,73.0,73,73,,1,0.0,0,0,,1,24.0,24,24,,1,0.0,0,0,,1,73.0,73,73,,1
Belarus,35.44444444444444,52,31,4.743072003052853,18,0.8888888888888888,1,0,0.32338083338177726,18,32.94444444444444,38,27,3.189545831992242,18,0.3333333333333333,3,0,0.7669649888473704,18,25.333333333333332,52,11,10.56074863656483,18
Belgium,44.14,67,29,9.21237599568883,250,0.92,1,0,0.27183741892777985,250,30.104,49,21,5.409086509519873,250,3.228,8,0,1.50768313439361,250,44.056,67,29,9.312343581069566,250
Belize,46.333333333333336,59,22,21.07921567168317,3,1.0,1,1,0.0,3,24.0,26,22,2.0,3,0.0,0,0,0.0,3,45.333333333333336,59,19,22.81081614790083,3
Benin,62.0,101,30,21.22262943181169,16,1.5625,3,1,0.7274384280931732,16,21.5,34,12,6.470445631227162,16,0.625,2,0,0.8850612031567836,16,62.0,101,30,21.22262943181169,16
Bhutan,26.0,31,21,7.0710678118654755,2,1.0,1,1,0.0,2,21.0,27,15,8.48528137423857,2,0.0,0,0,0.0,2,26.0,31,21,7.0710678118654755,2
Bolivia (Plurinational State of),24.875,67,12,14.677141351805183,24,0.4583333333333333,1,0,0.5089773777040516,24,8.583333333333334,20,1,5.064082102042963,24,0.25,2,0,0.531609533071195,24,24.458333333333332,67,9,15.056355487956242,24
Bosnia and Herzegovina,61.2,96,28,15.335300080905773,15,1.0,1,1,0.0,15,36.2,50,28,5.833401360147563,15,0.2,2,0,0.560611910581388,15,60.53333333333333,96,18,17.00784132883026,15
Botswana,44.88235294117647,79,15,19.273953774917256,17,0.8823529411764706,2,0,0.6966305460192359,17,19.647058823529413,31,9,6.613822424197941,17,0.47058823529411764,3,0,0.8744746321952062,17,43.8235294117647,79,11,20.4549361222348,17
Brazil,44.00127551020408,247,11,31.005684781866254,784,0.9630102040816326,16,0,1.3342560485007662,784,12.521683673469388,33,0,7.20823562067416,784,2.122448979591837,46,0,3.7600856111621233,784,43.51275510204081,247,3,31.426369426599972,784
Bulgaria,52.76744186046512,86,31,15.299917848055708,43,1.0232558139534884,2,1,0.15249857033260467,43,40.23255813953488,48,20,5.06076038565976,43,0.7441860465116279,5,0,1.0256942655915218,43,49.06976744186046,86,18,19.223491765517384,43
Burkina Faso,55.04545454545455,81,26,14.869198821492489,22,1.0909090909090908,2,1,0.29424494316824984,22,20.772727272727273,37,11,8.1060343083281,22,0.5454545454545454,3,0,0.9116846116771036,22,55.04545454545455,81,26,14.869198821492489,22
Burundi,62.69230769230769,97,39,18.90936547227597,13,2.6153846153846154,5,1,1.5566235649883127,13,21.384615384615383,28,15,4.500712194354383,13,0.6923076923076923,2,0,0.7510676161988108,13,62.69230769230769,97,39,18.90936547227597,13
Cabo Verde,38.0,40,36,2.8284271247461903,2,0.0,0,0,0.0,2,38.0,40,36,2.8284271247461903,2,0.0,0,0,0.0,2,27.0,27,27,0.0,2
Cambodia,46.5,73,21,15.802350638885525,8,0.625,1,0,0.5175491695067657,8,20.625,27,7,6.653409437488208,8,0.625,5,0,1.7677669529663689,8,46.5,73,21,15.802350638885525,8
Cameroon,68.70270270270271,124,36,22.229690937103896,37,2.324324324324324,5,1,1.05551604161856,37,17.054054054054053,35,8,5.343458856635142,37,0.40540540540540543,2,0,0.5990482942625401,37,68.70270270270271,124,36,22.229690937103896,37
Canada,43.22522522522522,83,20,13.756773329847826,111,1.045045045045045,2,0,0.31297363779158444,111,27.90990990990991,50,7,8.4116256666263,111,2.2882882882882885,18,0,3.3258967003785402,111,38.351351351351354,83,5,18.89956644459369,111
Central African Republic,61.44444444444444,86,26,17.30767331432956,18,1.9444444444444444,3,1,0.5393048054696105,18,11.88888888888889,22,1,5.223126051670013,18,0.0,0,0,0.0,18,61.44444444444444,86,26,17.30767331432956,18
Chad,77.04347826086956,156,27,36.39740033282792,23,1.6521739130434783,2,1,0.4869847535576739,23,18.73913043478261,46,6,11.67833032627037,23,0.17391304347826086,1,0,0.38755338788158983,23,77.04347826086956,156,27,36.39740033282792,23
Chile,93.46031746031746,358,14,74.9392927204813,63,4.412698412698413,28,0,5.972071885127176,63,9.523809523809524,29,0,8.435442017324865,63,9.317460317460318,36,0,8.66923629635907,63,92.61904761904762,358,3,75.79544385222476,63
China,124.69845360824742,386,20,51.10125023304488,388,3.402061855670103,28,0,2.61741254886278,388,85.52577319587628,210,0,59.815408173447906,388,6.801546391752577,64,0,9.412416763709498,388,110.3582474226804,386,11,46.88077140651475,388
Colombia,68.45625,149,18,28.739963383466904,160,1.74375,4,0,0.9332898125522621,160,9.6875,31,0,7.375965985132828,160,3.53125,13,0,2.8680014626804335,160,68.4125,149,14,28.818317790106562,160
Comoros,33.0,39,26,6.557438524302,3,0.0,0,0,0.0,3,27.333333333333332,31,25,3.214550253664318,3,0.0,0,0,0.0,3,32.0,39,23,8.18535277187245,3
Congo,78.25,115,60,19.061929148361212,8,2.375,5,1,1.1877349391654208,8,25.75,41,11,8.6972902183874,8,0.25,2,0,0.7071067811865476,8,78.25,115,60,19.061929148361212,8
Costa Rica,58.38461538461539,94,28,14.964162316887432,26,1.5384615384615385,3,1,0.5817744738827395,26,12.461538461538462,30,0,10.191097170494526,26,7.115384615384615,14,0,5.398717796491483,26,58.38461538461539,94,28,14.964162316887432,26
Croatia,57.90909090909091,76,31,12.74253877264238,22,1.0454545454545454,2,1,0.21320071635561041,22,44.45454545454545,67,30,12.938415567703698,22,0.5,1,0,0.511766315719159,22,51.63636363636363,76,14,19.881902406209605,22
Cuba,62.771929824561404,112,30,19.677777117365206,57,0.9824561403508771,2,0,0.35311006328336203,57,24.614035087719298,43,9,7.374556611284001,57,1.8771929824561404,11,0,2.1963457917852405,57,61.63157894736842,112,15,21.49470996294152,57
Cyprus,50.0,50,50,,1,1.0,1,1,,1,50.0,50,50,,1,0.0,0,0,,1,37.0,37,37,,1
Czechia,60.76744186046512,88,29,17.582238344558768,43,0.9069767441860465,2,0,0.36605707910184704,43,36.325581395348834,49,23,7.275925502356118,43,1.627906976744186,6,0,1.3976724838434158,43,60.16279069767442,88,23,18.69419343585206,43
Côte d'Ivoire,51.5,114,21,23.22455596992115,26,1.3846153846153846,4,1,0.7524319545007683,26,16.423076923076923,25,6,4.570978686654112,26,0.46153846153846156,4,0,1.028815599833876,26,51.5,114,21,23.22455596992115,26
Democratic Republic of the Congo,109.328125,392,30,77.2477060197742,64,4.625,35,0,6.06708528121402,64,26.40625,106,6,19.244227128616462,64,1.84375,18,0,3.71277823499091,64,109.28125,392,27,77.29750170504393,64
Denmark,38.16216216216216,47,23,4.901890301560056,37,0.4864864864864865,1,0,0.5067117097095317,37,36.13513513513514,47,23,5.023069901089496,37,0.4864864864864865,3,0,0.7311186870368822,37,28.45945945945946,46,12,10.787324337682927,37
Dominican Republic,105.0909090909091,159,46,34.83144322633556,22,1.6363636363636365,5,1,1.1358007263790995,22,17.09090909090909,38,2,10.879903233590563,22,6.363636363636363,17,0,5.251262474468171,22,105.0909090909091,159,46,34.83144322633556,22
Ecuador,44.72,131,7,22.705784572685978,50,1.18,3,0,0.660550172668394,50,10.64,24,0,7.369988785193471,50,2.56,9,0,2.556783693851097,50,44.62,131,7,22.84096749085659,50
Egypt,80.125,139,56,25.536738241208486,8,1.25,2,1,0.4629100498862757,8,69.875,139,38,30.796277604374758,8,1.75,5,0,1.5811388300841898,8,64.125,81,35,16.084042668789106,8
El Salvador,102.9090909090909,151,69,23.57744905404535,22,2.8181818181818183,5,1,0.9069238239845852,22,12.227272727272727,34,0,9.576418548068595,22,10.363636363636363,17,1,4.018356149868519,22,102.9090909090909,151,69,23.57744905404535,22
Equatorial Guinea,42.0,52,32,14.142135623730951,2,1.0,1,1,0.0,2,21.0,22,20,1.4142135623730951,2,0.0,0,0,0.0,2,42.0,52,32,14.142135623730951,2
Eritrea,109.0,163,76,47.148700936505136,3,1.0,1,1,0.0,3,32.666666666666664,41,28,7.234178138070236,3,0.0,0,0,0.0,3,109.0,163,76,47.148700936505136,3
Estonia,42.57142857142857,96,23,24.541510024562758,7,1.2857142857142858,3,1,0.7559289460184545,7,30.428571428571427,36,23,5.223572942509207,7,1.8571428571428572,7,0,2.9113897843110044,7,34.285714285714285,96,12,29.50544743892945,7
Ethiopia,80.56521739130434,156,24,35.32295942373166,23,1.0434782608695652,2,1,0.20851441405707477,23,21.347826086956523,28,13,4.27049811499755,23,0.13043478260869565,1,0,0.34435022157509093,23,80.56521739130434,156,24,35.32295942373166,23
Finland,39.46875,185,23,29.37711491879999,64,1.109375,7,0,0.9778042700235005,64,31.09375,46,17,5.224237621907979,64,2.015625,15,0,3.493723113023725,64,23.21875,185,2,34.708980014555216,64
France,52.29384965831435,151,24,20.71821675400492,439,1.031890660592255,3,0,0.39272357373755556,439,31.366742596810933,80,7,9.747960147453007,439,2.578587699316629,18,0,2.396267419181739,439,50.21412300683371,151,10,22.43070875078317,439
Gabon,73.0,131,40,29.203717962909156,8,1.875,3,1,0.8345229603962802,8,22.875,35,13,6.916594950861711,8,0.125,1,0,0.3535533905932738,8,73.0,131,40,29.203717962909156,8
Gambia,148.83333333333334,162,111,18.81931631772703,6,1.0,1,1,0.0,6,25.0,33,20,5.291502622129181,6,0.8333333333333334,1,0,0.408248290463863,6,148.83333333333334,162,111,18.81931631772703,6
Georgia,40.916666666666664,65,31,10.74039387574127,12,1.0,1,1,0.0,12,33.583333333333336,39,31,2.151461800448217,12,0.0,0,0,0.0,12,37.25,65,19,14.11076313895306,12
Germany,47.65576923076923,94,23,13.365692560340122,1040,0.8009615384615385,2,0,0.4599441720961105,1040,35.49038461538461,67,15,8.982278769999112,1040,1.9576923076923076,13,0,1.7924390611158083,1040,45.4625,94,12,15.7369050471172,1040
Ghana,62.734693877551024,150,22,26.66284517685931,49,1.2857142857142858,4,0,0.7359800721939873,49,18.163265306122447,26,5,4.913192015616012,49,0.5306122448979592,3,0,0.7932538689979848,49,62.734693877551024,150,22,26.66284517685931,49
Greece,81.0,129,44,36.72419729097788,4,1.0,1,1,0.0,4,44.5,48,42,2.516611478423584,4,0.0,0,0,0.0,4,77.5,129,30,41.7492514902962,4
Guatemala,79.16883116883118,129,27,23.51337950446769,77,2.272727272727273,4,1,0.9684002494125045,77,11.597402597402597,38,0,8.025059009882634,77,6.545454545454546,14,0,4.5234635499844895,77,79.16883116883118,129,27,23.51337950446769,77
Guinea,60.75,153,25,33.933424123233905,12,1.0833333333333333,2,1,0.28867513459481287,12,16.25,21,12,2.8959218974902683,12,0.0,0,0,0.0,12,60.75,153,25,33.933424123233905,12
Guinea-Bissau,120.0,120,120,,1,1.0,1,1,,1,27.0,27,27,,1,1.0,1,1,,1,120.0,120,120,,1
Guyana,45.5,61,27,17.55942292142123,4,0.5,1,0,0.5773502691896257,4,16.75,20,12,3.593976442141304,4,0.0,0,0,0.0,4,45.5,61,27,17.55942292142123,4
Haiti,116.42857142857143,144,74,23.064092892467738,7,1.8571428571428572,3,1,0.6900655593423543,7,20.571428571428573,38,4,11.399665826346881,7,4.142857142857143,12,0,4.059087394500207,7,116.42857142857143,144,74,23.064092892467738,7
Honduras,62.05555555555556,92,16,20.35413593531307,18,1.1666666666666667,2,1,0.3834824944236852,18,12.444444444444445,27,0,8.067525476889516,18,1.6111111111111112,4,0,1.5392469086379983,18,62.05555555555556,92,16,20.35413593531307,18
Hungary,62.34782608695652,86,38,9.940304916638562,46,1.0,1,1,0.0,46,43.58695652173913,68,27,13.71062213833821,46,1.065217391304348,3,0,1.0198512726655236,46,60.43478260869565,86,38,10.223398378041193,46
Iceland,23.0,23,23,,1,1.0,1,1,,1,23.0,23,23,,1,0.0,0,0,,1,12.0,12,12,,1
India,139.96546961325967,500,24,82.61512472704827,724,1.6961325966850829,12,0,1.4890792736996872,724,52.98756906077348,199,1,40.92841789750411,724,1.8162983425414365,43,0,3.6119839874792325,724,137.5110497237569,500,16,77.20548744285838,724
Indonesia,86.84552845528455,281,10,61.944982532800324,123,2.292682926829268,15,0,2.7985116281814464,123,46.699186991869915,207,3,53.47037404930832,123,3.845528455284553,63,0,11.046127220103354,123,83.0,281,5,56.87129559184563,123
Iran (Islamic Republic of),116.37931034482759,222,46,49.92023193706382,29,1.3103448275862069,5,0,1.0386615107869106,29,72.82758620689656,222,32,53.09430220003248,29,0.8620689655172413,7,0,1.9034580923570674,29,110.20689655172414,178,30,44.684912211062304,29
Iraq,132.66666666666666,143,118,13.051181300301263,3,1.6666666666666667,3,1,1.1547005383792517,3,99.0,143,69,38.93584466786357,3,3.6666666666666665,8,1,3.7859388972001824,3,115.0,137,90,23.643180835073778,3
Ireland,40.84,58,23,11.330931117962018,25,0.8,1,0,0.408248290463863,25,33.6,42,23,6.53834841531101,25,0.84,4,0,1.2138094304022082,25,35.84,58,13,15.902515524281057,25
Israel,85.0,132,61,18.654758106177628,28,1.4642857142857142,3,1,0.6372477195601849,28,48.785714285714285,80,36,8.929174582802082,28,5.642857142857143,11,1,2.541715456206194,28,85.0,132,61,18.654758106177628,28
Italy,61.80710059171598,152,27,18.01143519720436,845,1.1183431952662721,4,0,0.3546670564628395,845,44.124260355029584,86,11,12.630173036320427,845,2.260355029585799,11,0,2.2922499485028434,845,55.994082840236686,152,10,22.574966486468295,845
Jamaica,90.66666666666667,125,41,31.462146568005604,6,1.0,2,0,0.6324555320336759,6,20.0,26,16,3.286335345030997,6,3.3333333333333335,7,1,1.96638416050035,6,90.66666666666667,125,41,31.462146568005604,6
Japan,52.684444444444445,133,26,18.525681392907448,450,1.1777777777777778,3,0,0.5164936128030243,450,39.77777777777778,119,2,14.099533058481445,450,3.6222222222222222,24,0,5.095912545571291,450,42.79555555555555,133,8,23.427335940942573,450
Jordan,91.5,98,85,9.192388155425117,2,1.0,1,1,0.0,2,46.0,46,46,0.0,2,3.5,4,3,0.7071067811865476,2,91.5,98,85,9.192388155425117,2
Kazakhstan,56.13636363636363,130,24,24.089704290710024,22,1.0454545454545454,2,1,0.21320071635561053,22,33.27272727272727,51,15,9.900369488928987,22,0.8181818181818182,11,0,2.363136810346702,22,53.27272727272727,130,15,27.15946177000501,22
Kenya,72.28888888888889,175,20,39.44825276821074,45,2.422222222222222,11,0,2.816258711715444,45,21.755555555555556,35,11,5.796376436876732,45,1.0,6,0,1.665150825819473,45,72.11111111111111,175,14,39.69727619590212,45
Kingdom of Eswatini,94.5,114,75,27.577164466275352,2,2.5,3,2,0.7071067811865476,2,18.0,21,15,4.242640687119285,2,2.0,3,1,1.4142135623730951,2,94.5,114,75,27.577164466275352,2
Kuwait,161.0,161,161,,1,3.0,3,3,,1,124.0,124,124,,1,18.0,18,18,,1,161.0,161,161,,1
Kyrgyzstan,83.375,123,42,30.23213758332584,8,0.5,1,0,0.5345224838248488,8,37.75,43,25,6.112048990080401,8,0.375,2,0,0.7440238091428449,8,83.375,123,42,30.23213758332584,8
Lao People's Democratic Republic,44.75,51,36,6.34428877022476,4,0.75,2,0,0.9574271077563381,4,21.25,29,8,9.287087810503355,4,0.25,1,0,0.5,4,44.75,51,36,6.34428877022476,4
Latvia,39.6875,55,31,8.723292574099148,16,1.0,1,1,0.0,16,33.0625,38,28,2.3796008068581584,16,0.25,2,0,0.5773502691896257,16,34.75,55,13,13.36413109783049,16
Lebanon,64.0,64,64,,1,1.0,1,1,,1,49.0,49,49,,1,2.0,2,2,,1,64.0,64,64,,1
Lesotho,98.25,134,65,32.592176975464525,4,3.25,6,1,2.217355782608345,4,12.75,23,5,7.762087348130012,4,3.25,7,1,2.6299556396765835,4,98.25,134,65,32.592176975464525,4
Liberia,36.625,60,17,16.67279649180493,8,0.625,1,0,0.5175491695067657,8,18.875,27,11,4.793969425970806,8,0.0,0,0,0.0,8,36.125,60,16,17.266296649832007,8
Libya,78.8,155,49,43.51091817004095,5,1.0,1,1,0.0,5,48.2,69,31,14.463747785411636,5,0.4,1,0,0.5477225575051661,5,69.2,155,24,51.78513300166371,5
Lithuania,37.0,52,29,6.287961636211018,14,0.7857142857142857,1,0,0.42581531362632,14,33.285714285714285,37,28,2.785362051554837,14,0.21428571428571427,1,0,0.42581531362632,14,33.0,52,22,9.281909617845143,14
Luxembourg,26.0,26,26,,1,1.0,1,1,,1,26.0,26,26,,1,2.0,2,2,,1,23.0,23,23,,1
Madagascar,31.326923076923077,73,15,14.250863274637021,52,0.46153846153846156,2,0,0.6405126152203485,52,21.25,28,9,3.388996033878921,52,0.019230769230769232,1,0,0.13867504905630726,52,26.807692307692307,73,7,17.584572629726765,52
Malawi,47.333333333333336,70,23,13.694281044776806,21,0.8095238095238095,2,0,0.6015852075182383,21,20.666666666666668,25,17,2.033060090930254,21,0.0,0,0,0.0,21,47.23809523809524,70,21,13.877697078062925,21
Malaysia,93.03125,209,46,37.702985571009386,32,3.90625,67,1,11.562897769967082,32,37.8125,209,4,34.520155402782564,32,3.03125,21,0,4.986979013132034,32,91.40625,157,46,33.420931605130924,32
Maldives,19.0,19,19,,1,0.0,0,0,,1,19.0,19,19,,1,0.0,0,0,,1,15.0,15,15,,1
Mali,92.3125,182,42,44.097949687787825,16,1.0625,2,1,0.24999999999999997,16,21.5625,45,10,10.07947584616052,16,0.1875,1,0,0.4031128874149275,16,92.3125,182,42,44.097949687787825,16
Malta,49.5,70,39,11.76010204037363,6,1.0,1,1,0.0,6,48.5,70,39,11.449890829173874,6,0.8333333333333334,2,0,0.983192080250175,6,35.833333333333336,55,21,14.162156144693034,6
Mauritania,164.0,169,157,6.244997998398398,3,0.6666666666666666,1,0,0.5773502691896258,3,30.0,36,22,7.211102550927978,3,0.0,0,0,0.0,3,164.0,169,157,6.244997998398398,3
Mauritius,45.75,61,29,12.432545267087582,12,0.4166666666666667,1,0,0.5149286505444373,12,28.166666666666668,30,27,1.3371158468430429,12,0.0,0,0,0.0,12,45.25,61,24,13.226179273766789,12
Mexico,91.0748031496063,384,16,61.19732804173121,254,1.795275590551181,11,0,1.3474530662130246,254,17.586614173228348,39,0,9.63187939832253,254,4.897637795275591,26,0,5.50218734179222,254,90.86220472440945,384,3,61.4429964029887,254
Monaco,56.0,56,56,,1,1.0,1,1,,1,56.0,56,56,,1,1.0,1,1,,1,42.0,42,42,,1
Mongolia,55.833333333333336,100,33,27.75187681340969,6,0.8333333333333334,1,0,0.408248290463863,6,33.0,37,30,2.6832815729997472,6,0.0,0,0,0.0,6,49.333333333333336,100,12,34.63909159701892,6
Montenegro,60.0,68,52,8.0,3,1.0,1,1,0.0,3,31.333333333333332,43,21,11.060440015358038,3,0.3333333333333333,1,0,0.5773502691896258,3,60.0,68,52,8.0,3
Morocco,49.3,83,37,13.896842167277507,10,1.3,3,1,0.6749485577105528,10,31.9,43,16,8.99938269487907,10,4.1,15,0,4.677368680976279,10,46.8,83,26,16.321764610482532,10
Mozambique,36.44444444444444,66,20,12.678013493595552,18,0.6666666666666666,2,0,0.6859943405700354,18,21.444444444444443,30,16,3.4508689821588625,18,0.05555555555555555,1,0,0.2357022603955158,18,35.888888888888886,66,16,13.411535372422936,18
Myanmar,36.30769230769231,71,15,13.983362004734971,39,0.4358974358974359,2,0,0.5522619418008753,39,21.94871794871795,31,6,5.684460433352805,39,0.23076923076923078,3,0,0.7420291688669608,39,34.58974358974359,71,10,15.840849838841796,39
Namibia,59.38461538461539,204,19,52.953656564865696,13,0.46153846153846156,1,0,0.5188745216627708,13,21.53846153846154,32,14,5.237928735282433,13,0.0,0,0,0.0,13,57.84615384615385,204,14,54.07840936061598,13
Nepal,110.25,163,65,36.28754213618931,8,2.5,4,2,0.7559289460184544,8,54.125,114,14,30.610164044923753,8,0.875,4,0,1.3562026818605375,8,110.25,163,65,36.28754213618931,8
Netherlands,38.1260162601626,121,26,8.334118098107554,246,0.6666666666666666,1,0,0.4723655911480855,246,31.735772357723576,40,17,5.0393655266544,246,2.565040650406504,8,0,2.080482037544396,246,35.36991869918699,121,13,10.523314717636474,246
New Zealand,30.85,70,13,19.850162401562887,20,0.0,0,0,0.0,20,21.15,30,9,7.464124723953695,20,0.65,2,0,0.812727700887249,20,27.3,70,7,21.63841613038207,20
Nicaragua,47.89655172413793,143,19,25.308588078790017,29,1.0344827586206897,2,1,0.18569533817705186,29,16.275862068965516,27,3,4.6205793678478555,29,1.6896551724137931,7,0,1.7748933222643886,29,47.86206896551724,143,19,25.34578598100824,29
Niger,79.58333333333333,164,39,42.9131434270187,12,1.5833333333333333,2,1,0.5149286505444373,12,27.083333333333332,37,18,6.41671585970911,12,0.75,2,0,0.621581560508061,12,79.58333333333333,164,39,42.9131434270187,12
Nigeria,97.77142857142857,217,48,43.07801195356671,70,3.857142857142857,16,1,3.2180906855549427,70,25.414285714285715,61,1,10.294916231181258,70,2.3285714285714287,14,0,3.3000721492834346,70,97.77142857142857,217,48,43.07801195356671,70
Norway,36.46666666666667,52,26,8.806382966484081,15,0.7333333333333333,1,0,0.4577377082170635,15,35.266666666666666,49,26,7.69477249888025,15,0.26666666666666666,1,0,0.45773770821706344,15,19.2,52,11,10.427984327896603,15
Oman,155.0,155,155,,1,2.0,2,2,,1,155.0,155,155,,1,5.0,5,5,,1,139.0,139,139,,1
Pakistan,184.33673469387756,500,71,68.50132723186336,98,2.326530612244898,6,0,1.4486076514775175,98,91.85714285714286,202,7,49.93438994289478,98,2.489795918367347,19,0,3.9014797561717818,98,178.5204081632653,466,60,65.42269059884735,98
Palau,16.0,16,16,,1,0.0,0,0,,1,16.0,16,16,,1,0.0,0,0,,1,7.0,7,7,,1
Panama,69.33333333333333,134,29,26.738917273698593,12,1.6666666666666667,4,1,0.8876253645985945,12,19.166666666666668,29,11,5.219427578041891,12,5.5,13,0,3.919647479510927,12,69.33333333333333,134,29,26.738917273698593,12
Papua New Guinea,25.285714285714285,104,8,24.913476647816914,14,0.0,0,0,0.0,14,15.857142857142858,28,6,6.087277310501392,14,0.07142857142857142,1,0,0.2672612419124244,14,20.642857142857142,104,5,26.67066133083647,14
Paraguay,49.0,160,14,40.27788093119712,14,1.5,8,0,2.066211695163583,14,11.714285714285714,20,0,6.832372844138315,14,1.1428571428571428,5,0,1.6574838603294897,14,49.0,160,14,40.27788093119712,14
Peru,37.282051282051285,179,9,27.23581362451916,78,0.8589743589743589,9,0,1.224472947571321,78,11.423076923076923,24,0,7.725012891628348,78,1.4615384615384615,25,0,3.281955022730929,78,37.03846153846154,179,5,27.44555049107672,78
Philippines,61.04761904761905,165,16,28.08051128223335,231,0.9783549783549783,5,0,0.6075316234094317,231,22.696969696969695,37,6,4.590532733500395,231,1.1818181818181819,12,0,2.191251018862965,231,60.891774891774894,165,13,28.284140153580186,231
Poland,50.641975308641975,113,28,19.844932167177678,162,0.9197530864197531,2,0,0.38574595092497227,162,34.01851851851852,46,17,6.339731975272176,162,1.3641975308641976,12,0,1.850822119963293,162,47.67901234567901,113,15,22.401379261270947,162
Portugal,34.14754098360656,47,14,6.199021604451708,61,0.5901639344262295,1,0,0.4958847036804648,61,31.147540983606557,42,12,6.433858524954189,61,2.0491803278688523,6,0,1.3714497136023218,61,25.57377049180328,47,13,9.129547298731815,61
Qatar,164.0,164,164,,1,1.0,1,1,,1,164.0,164,164,,1,2.0,2,2,,1,144.0,144,144,,1
Republic of Korea,421.0,421,421,,1,27.0,27,27,,1,0.0,0,0,,1,91.0,91,91,,1,415.0,415,415,,1
Republic of Moldova,49.4375,67,36,9.549650953481668,16,1.0,1,1,0.0,16,42.0625,51,36,5.359959576962,16,0.0625,1,0,0.25,16,46.1875,67,21,14.1667156861897,16
Republic of North Macedonia,63.56666666666667,123,33,17.248055029447542,30,1.0,1,1,0.0,30,42.2,47,32,3.5467323475034864,30,0.23333333333333334,2,0,0.5683207771559354,30,63.56666666666667,123,33,17.248055029447542,30
Romania,54.81609195402299,74,35,10.819371876657149,87,1.0114942528735633,2,0,0.18641369806709912,87,39.793103448275865,62,24,5.40055537849125,87,0.7241379310344828,5,0,1.2265441636585985,87,52.758620689655174,74,10,14.059644969914142,87
